Hora,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),temp,pressure,humidity,wind_speed,clouds_all,weather_description,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,terrestrial_radiation
13,0.003,0.0,0.378,High,24.9,1024,56,1.21,89,6,713.0,619.0,94.0,872.0,968.5
14,0.0,0.0,0.45,High,26.2,1024,51,2.17,24,2,677.0,586.0,91.0,863.1,926.4
15,0.0,0.0,0.42,High,26.48,1023,49,3.05,19,2,584.0,498.0,86.0,830.8,817.9
16,0.054,0.0,0.35,High,25.84,1023,51,3.27,0,7,442.0,360.0,82.0,755.4,650.3
17,0.105,0.0,0.216,Low,23.67,1023,61,2.81,1,7,260.0,181.0,79.0,567.6,435.1
18,0.419,0.0,0.032,None,22.02,1023,67,2.29,55,4,89.0,49.0,40.0,321.3,187.0
19,0.341,0.0,0.0,None,19.9,1023,75,1.65,96,6,2.0,0.0,2.0,0.0,18.1
20,0.585,0.0,0.0,None,18.78,1023,77,1.08,98,6,0.0,0.0,0.0,0.0,0.0
21,0.523,0.0,0.0,None,18.23,1024,80,1.56,98,6,0.0,0.0,0.0,0.0,0.0
22,0.562,0.0,0.0,None,17.62,1023,80,1.32,100,6,0.0,0.0,0.0,0.0,0.0
23,0.599,0.0,0.0,None,17.67,1023,82,2.06,100,6,0.0,0.0,0.0,0.0,0.0
0,0.611,0.0,0.0,None,16.63,1023,85,1.23,99,6,0.0,0.0,0.0,0.0,0.0
1,0.557,0.0,0.0,None,16.05,1023,86,1.87,92,6,0.0,0.0,0.0,0.0,0.0
2,0.446,0.0,0.0,None,16.15,1022,85,1.49,93,6,0.0,0.0,0.0,0.0,0.0
3,0.336,0.0,0.0,None,16.14,1022,88,1.5,14,2,0.0,0.0,0.0,0.0,0.0
4,0.306,0.0,0.0,None,15.07,1022,89,1.1,60,4,0.0,0.0,0.0,0.0,0.0
5,0.268,0.0,0.0,None,15.6,1022,90,1.35,86,6,0.0,0.0,0.0,0.0,0.0
6,0.279,0.0,0.0,None,15.44,1022,89,1.24,92,6,0.0,0.0,0.0,0.0,0.0
7,0.281,0.0,0.0,None,14.97,1022,91,1.06,98,6,5.0,0.0,5.0,0.0,45.1
8,0.585,0.0,0.047,None,15.63,1023,91,1.18,99,6,102.0,33.0,69.0,188.6,238.8
9,0.064,0.0,0.187,Low,15.71,1023,85,1.24,94,6,272.0,180.0,92.0,511.1,480.8
10,0.005,0.0,0.248,High,18.84,1023,75,2.09,98,6,457.0,352.0,105.0,700.1,686.4
11,0.0,0.0,0.258,Very High,20.39,1023,67,2.19,100,6,529.0,327.0,202.0,530.5,841.5
12,0.0,0.0,0.262,Very High,21.2,1023,65,2.66,78,4,545.0,307.0,238.0,447.9,935.7
13,0.025,0.0,0.329,Very High,22.24,1023,58,2.66,77,4,655.0,495.0,160.0,702.1,962.5
14,0.014,0.0,0.34,High,23.28,1022,60,2.66,97,6,611.0,429.0,182.0,636.6,920.0
15,0.02,0.0,0.373,High,23.77,1022,62,3.46,100,6,477.0,307.0,170.0,516.8,811.1
16,0.052,0.0,0.376,Medium,23.19,1022,71,3.44,100,6,346.0,191.0,155.0,405.4,643.2
17,0.189,0.0,0.267,Low,21.63,1021,77,3.05,100,6,161.0,45.0,116.0,143.6,427.8
18,0.714,0.0,0.034,None,20.52,1022,80,2.5,100,6,36.0,2.0,34.0,13.4,179.4
19,0.422,0.0,0.0,None,19.49,1022,86,1.45,100,6,1.0,0.0,1.0,0.0,14.2
20,0.374,0.0,0.0,None,18.97,1022,88,0.85,100,6,0.0,0.0,0.0,0.0,0.0
21,0.255,0.0,0.0,None,18.94,1022,89,0.97,100,6,0.0,0.0,0.0,0.0,0.0
22,0.324,0.0,0.0,None,18.43,1021,90,1.58,100,6,0.0,0.0,0.0,0.0,0.0
23,0.331,0.0,0.0,None,18.41,1020,91,1.11,100,6,0.0,0.0,0.0,0.0,0.0
0,0.328,0.0,0.0,None,18.42,1020,92,1.55,100,6,0.0,0.0,0.0,0.0,0.0
1,0.526,0.0,0.0,None,18.42,1020,92,1.92,100,6,0.0,0.0,0.0,0.0,0.0
2,0.328,0.0,0.0,None,18.42,1019,93,2.33,100,6,0.0,0.0,0.0,0.0,0.0
3,0.262,0.0,0.0,None,17.9,1018,93,2.32,100,6,0.0,0.0,0.0,0.0,0.0
4,0.256,0.0,0.0,None,17.87,1018,93,2.32,100,6,0.0,0.0,0.0,0.0,0.0
5,0.256,0.0,0.0,None,17.59,1017,93,2.95,100,6,0.0,0.0,0.0,0.0,0.0
6,0.287,0.0,0.0,None,17.33,1017,93,3.2,100,6,0.0,0.0,0.0,0.0,0.0
7,0.377,0.0,0.0,None,17.31,1017,93,3.55,100,6,2.0,0.0,2.0,0.0,42.8
8,0.215,0.0,0.064,None,17.36,1017,93,3.78,100,6,42.0,8.0,34.0,46.7,234.1
9,0.087,0.0,0.167,Low,18.44,1017,93,3.57,100,6,80.0,25.0,55.0,71.8,475.9
10,0.052,0.0,0.201,Low,19.53,1016,88,4.74,96,6,149.0,27.0,122.0,54.1,681.3
11,0.099,0.0,0.27,Medium,20.55,1016,83,5.41,99,6,159.0,2.0,157.0,3.3,836.2
12,0.265,0.0,0.29,Low,20.02,1015,88,5.52,100,5,162.0,0.0,162.0,0.0,930.0
13,0.741,0.0,0.214,None,18.98,1015,92,6.18,100,6,92.0,0.0,92.0,0.0,956.4
14,0.202,0.0,0.261,Low,19.03,1014,93,6.23,100,6,251.0,64.0,187.0,95.7,913.6
15,0.735,0.0,0.244,Low,19.03,1013,93,6.55,100,5,205.0,57.0,148.0,96.8,804.3
16,0.936,0.0,0.144,None,19.02,1012,92,6.72,100,5,91.0,11.0,80.0,23.6,636.1
17,0.418,0.0,0.056,None,18.99,1011,91,6.66,100,5,39.0,2.0,37.0,6.5,420.4
18,0.388,0.0,0.016,None,18.96,1011,91,6.68,100,6,13.0,0.0,13.0,0.0,171.9
19,0.52,0.0,0.0,None,18.43,1011,92,6.86,100,5,0.0,0.0,0.0,0.0,10.4
20,0.477,0.0,0.0,None,18.42,1010,93,7.14,100,5,0.0,0.0,0.0,0.0,0.0
21,0.55,0.0,0.0,None,18.42,1010,93,7.37,100,1,0.0,0.0,0.0,0.0,0.0
22,0.32,0.0,0.0,None,18.42,1009,93,7.54,100,1,0.0,0.0,0.0,0.0,0.0
23,0.352,0.0,0.0,None,18.4,1008,93,8.4,100,1,0.0,0.0,0.0,0.0,0.0
0,0.472,0.0,0.0,None,18.45,1007,93,7.86,100,1,0.0,0.0,0.0,0.0,0.0
1,0.429,0.0,0.0,None,17.29,1007,93,5.26,100,0,0.0,0.0,0.0,0.0,0.0
2,0.281,0.0,0.0,None,16.72,1008,93,4.84,100,0,0.0,0.0,0.0,0.0,0.0
3,0.337,0.0,0.0,None,16.58,1009,93,3.45,97,1,0.0,0.0,0.0,0.0,0.0
4,0.277,0.0,0.0,None,13.48,1009,93,3.39,72,5,0.0,0.0,0.0,0.0,0.0
5,0.263,0.0,0.0,None,13.46,1010,93,3.76,51,4,0.0,0.0,0.0,0.0,0.0
6,0.259,0.0,0.0,None,12.91,1011,93,3.3,39,3,0.0,0.0,0.0,0.0,0.0
7,0.259,0.0,0.002,None,12.36,1012,93,2.47,40,3,5.0,1.0,4.0,13.7,40.4
8,0.047,0.0,0.221,Medium,13.02,1013,93,2.26,32,3,99.0,57.0,42.0,339.7,229.3
9,0.015,0.0,0.299,High,14.65,1014,87,3.25,23,2,273.0,195.0,78.0,565.8,471.0
10,0.053,0.0,0.402,High,16.29,1016,72,2.31,45,3,376.0,272.0,104.0,549.8,676.1
11,0.236,0.0,0.502,High,16.88,1016,70,3.08,46,3,521.0,414.0,107.0,681.1,830.8
12,0.958,0.0,0.621,Medium,17.89,1017,61,3.73,33,3,610.0,502.0,108.0,742.3,924.3
13,0.57,0.0,0.417,Medium,16.89,1017,67,3.61,28,3,537.0,415.0,122.0,596.9,950.3
14,0.384,0.0,0.21,Medium,18.6,1017,65,4.55,29,3,474.0,338.0,136.0,509.3,907.1
15,0.205,0.0,0.278,Medium,17.92,1018,69,4.75,36,3,403.0,286.0,117.0,490.2,797.4
16,0.163,0.0,0.173,Medium,17.92,1019,65,3.84,18,2,373.0,284.0,89.0,617.2,628.9
17,0.329,0.0,0.194,None,16.82,1019,69,2.93,0,7,249.0,183.0,66.0,605.7,413.0
18,0.358,0.0,0.034,None,15.71,1020,74,1.77,7,7,80.0,47.0,33.0,326.4,164.3
19,0.472,0.0,0.0,None,14.6,1021,77,2.25,100,6,1.0,0.0,1.0,0.0,6.6
20,0.516,0.0,0.0,None,14.03,1021,79,1.69,100,6,0.0,0.0,0.0,0.0,0.0
21,0.489,0.0,0.0,None,13.46,1021,82,0.91,100,6,0.0,0.0,0.0,0.0,0.0
22,0.573,0.0,0.0,None,12.92,1022,84,1.41,100,6,0.0,0.0,0.0,0.0,0.0
23,0.591,0.0,0.0,None,12.93,1022,85,0.35,100,6,0.0,0.0,0.0,0.0,0.0
0,0.548,0.0,0.0,None,12.37,1022,87,0.56,100,6,0.0,0.0,0.0,0.0,0.0
1,0.527,0.0,0.0,None,12.92,1022,86,0.62,86,6,0.0,0.0,0.0,0.0,0.0
2,0.334,0.0,0.0,None,12.92,1022,87,0.72,100,6,0.0,0.0,0.0,0.0,0.0
3,0.34,0.0,0.0,None,12.93,1022,87,0.77,95,6,0.0,0.0,0.0,0.0,0.0
4,0.333,0.0,0.0,None,12.94,1022,86,0.71,81,4,0.0,0.0,0.0,0.0,0.0
5,0.337,0.0,0.0,None,12.93,1022,88,0.59,94,6,0.0,0.0,0.0,0.0,0.0
6,0.319,0.0,0.0,None,12.92,1022,89,0.93,97,6,0.0,0.0,0.0,0.0,0.0
7,0.33,0.0,0.002,None,12.87,1023,88,1.16,78,4,2.0,0.0,2.0,0.0,38.0
8,0.447,0.0,0.048,None,13.48,1023,87,1.54,70,4,63.0,26.0,37.0,157.0,224.5
9,0.372,0.0,0.129,None,14.03,1023,90,2.07,69,4,120.0,48.0,72.0,140.8,466.0
10,0.024,0.0,0.337,Medium,15.44,1023,80,2.08,96,6,169.0,42.0,127.0,85.6,671.0
11,0.013,0.0,0.298,Medium,17.63,1022,77,2.52,89,6,386.0,208.0,178.0,344.7,825.3
12,0.001,0.0,0.311,Medium,17.42,1023,81,3.09,99,6,349.0,190.0,159.0,282.9,918.5
13,0.182,0.0,0.237,None,17.51,1023,82,3.3,99,6,365.0,185.0,180.0,268.0,944.1
14,0.029,0.0,0.484,Medium,19.92,1022,72,3.33,71,4,377.0,207.0,170.0,314.4,900.5
15,0.084,0.0,0.424,Medium,18.06,1022,80,3.06,57,4,355.0,185.0,170.0,320.0,790.6
16,0.052,0.0,0.403,Medium,17.98,1022,77,3.39,41,3,285.0,160.0,125.0,352.0,621.8
17,0.25,0.0,0.237,Medium,18.43,1022,72,3.12,69,4,170.0,93.0,77.0,313.6,405.6
18,0.364,0.0,0.039,None,16.81,1022,80,2.29,93,6,50.0,22.0,28.0,155.9,156.8
19,0.638,0.0,0.0,None,16.29,1022,83,2.09,100,5,0.0,0.0,0.0,0.0,2.8
20,0.664,0.0,0.0,None,15.79,1022,85,2.21,99,6,0.0,0.0,0.0,0.0,0.0
21,0.699,0.0,0.0,None,15.78,1023,87,2.61,100,6,0.0,0.0,0.0,0.0,0.0
22,0.734,0.0,0.0,None,15.21,1023,91,1.97,99,6,0.0,0.0,0.0,0.0,0.0
23,0.5,0.0,0.0,None,15.19,1022,92,2.66,100,6,0.0,0.0,0.0,0.0,0.0
0,0.546,0.0,0.0,None,15.15,1022,92,3.17,100,6,0.0,0.0,0.0,0.0,0.0
1,0.492,0.0,0.0,None,14.64,1021,93,3.35,100,5,0.0,0.0,0.0,0.0,0.0
2,0.32,0.0,0.0,None,15.15,1021,93,3.29,100,5,0.0,0.0,0.0,0.0,0.0
3,0.319,0.0,0.0,None,15.18,1020,93,2.93,100,5,0.0,0.0,0.0,0.0,0.0
4,0.317,0.0,0.0,None,15.18,1020,93,2.4,100,5,0.0,0.0,0.0,0.0,0.0
5,0.316,0.0,0.0,None,15.7,1020,93,1.87,100,5,0.0,0.0,0.0,0.0,0.0
6,0.31,0.0,0.0,None,15.71,1020,93,1.53,100,6,0.0,0.0,0.0,0.0,0.0
7,0.312,0.0,0.001,None,16.27,1021,93,1.43,100,6,2.0,0.0,2.0,0.0,35.6
8,0.255,0.0,0.067,None,16.85,1022,93,1.81,100,6,29.0,0.0,29.0,0.0,219.6
9,0.151,0.0,0.188,Low,17.37,1022,93,2.59,100,6,78.0,0.0,78.0,0.0,461.0
10,0.271,0.0,0.216,None,17.91,1023,93,3.38,100,6,182.0,24.0,158.0,49.3,665.8
11,0.188,0.0,0.281,Low,18.48,1023,93,3.09,97,6,317.0,113.0,204.0,188.6,819.8
12,0.007,0.0,0.467,High,18.58,1023,93,3.17,97,6,419.0,220.0,199.0,329.9,912.6
13,0.228,0.0,0.588,High,20.18,1023,89,3.5,100,6,417.0,189.0,228.0,275.7,937.9
14,0.2,0.0,0.406,Medium,20.71,1023,82,3.64,98,6,462.0,254.0,208.0,388.8,894.0
15,0.065,0.0,0.424,High,21.72,1023,76,3.36,97,6,370.0,222.0,148.0,387.7,783.7
16,0.458,0.0,0.181,Low,20.66,1023,80,2.89,83,4,309.0,175.0,134.0,389.7,614.6
17,0.339,0.0,0.202,None,20.6,1023,81,2.52,43,3,228.0,153.0,75.0,525.8,398.2
18,0.444,0.0,0.041,None,19.74,1023,81,1.78,19,2,68.0,39.0,29.0,282.0,149.3
19,0.547,0.0,0.0,None,18.89,1024,84,1.76,21,2,0.0,0.0,0.0,0.0,0.0
20,0.969,0.0,0.0,None,17.79,1024,89,1.51,13,2,0.0,0.0,0.0,0.0,0.0
21,1.157,0.0,0.0,None,16.8,1024,90,1.42,5,7,0.0,0.0,0.0,0.0,0.0
22,0.966,0.0,0.0,None,16.69,1025,90,1.16,22,2,0.0,0.0,0.0,0.0,0.0
23,0.918,0.0,0.0,None,15.65,1025,92,1.19,38,3,0.0,0.0,0.0,0.0,0.0
0,0.935,0.0,0.0,None,15.59,1025,92,1.36,87,6,0.0,0.0,0.0,0.0,0.0
1,0.698,0.0,0.0,None,15.67,1025,93,1.49,84,4,0.0,0.0,0.0,0.0,0.0
2,0.541,0.0,0.0,None,15.13,1024,93,1.38,86,6,0.0,0.0,0.0,0.0,0.0
3,0.41,0.0,0.0,None,14.99,1024,93,1.78,79,4,0.0,0.0,0.0,0.0,0.0
4,0.401,0.0,0.0,None,15.01,1024,93,1.69,35,3,0.0,0.0,0.0,0.0,0.0
5,0.409,0.0,0.0,None,15.47,1024,88,1.74,30,3,0.0,0.0,0.0,0.0,0.0
6,0.401,0.0,0.0,None,15.47,1024,85,2.0,30,3,0.0,0.0,0.0,0.0,0.0
7,0.402,0.0,0.001,None,15.47,1024,84,1.96,11,2,5.0,1.0,4.0,14.8,33.2
8,0.401,0.0,0.252,Low,17.67,1024,77,2.25,2,7,108.0,66.0,42.0,408.0,214.8
9,0.001,0.0,0.401,Medium,19.54,1025,71,1.72,0,7,289.0,225.0,64.0,675.5,456.0
10,0.0,0.0,0.33,High,21.21,1025,65,0.97,0,7,454.0,378.0,76.0,783.5,660.5
11,0.0,0.0,0.312,Very High,22.31,1024,67,1.05,0,7,582.0,496.0,86.0,834.0,814.2
12,0.0,0.0,0.318,Very High,23.47,1024,62,0.87,0,7,660.0,571.0,89.0,862.2,906.8
13,0.005,0.0,0.323,Very High,24.59,1023,59,0.53,0,7,681.0,591.0,90.0,868.5,931.7
14,0.01,0.0,0.424,High,25.12,1023,57,0.28,0,7,642.0,553.0,89.0,853.3,887.4
15,0.0,0.0,0.407,High,26.03,1022,56,0.99,0,7,547.0,462.0,85.0,814.4,776.8
16,0.0,0.0,0.42,Medium,26.53,1022,55,1.37,0,7,406.0,330.0,76.0,743.9,607.4
17,0.344,0.0,0.256,None,24.95,1022,61,1.31,0,7,234.0,173.0,61.0,606.1,390.8
18,1.276,0.0,0.018,None,23.44,1022,67,1.58,0,7,66.0,39.0,27.0,287.8,141.8
19,0.697,0.0,0.0,None,22.32,1022,73,1.83,0,7,0.0,0.0,0.0,0.0,0.0
20,0.47,0.0,0.0,None,21.22,1022,71,2.01,0,7,0.0,0.0,0.0,0.0,0.0
21,0.516,0.0,0.0,None,17.67,1022,86,2.2,0,7,0.0,0.0,0.0,0.0,0.0
22,0.395,0.0,0.0,None,20.41,1022,67,2.09,0,7,0.0,0.0,0.0,0.0,0.0
23,0.486,0.0,0.0,None,19.95,1022,68,1.82,0,7,0.0,0.0,0.0,0.0,0.0
0,0.601,0.0,0.0,None,19.41,1022,69,1.8,0,7,0.0,0.0,0.0,0.0,0.0
1,0.369,0.0,0.0,None,16.98,1022,86,1.93,0,7,0.0,0.0,0.0,0.0,0.0
2,0.311,0.0,0.0,None,17.99,1022,85,2.09,0,7,0.0,0.0,0.0,0.0,0.0
3,0.309,0.0,0.0,None,18.3,1022,86,2.23,0,7,0.0,0.0,0.0,0.0,0.0
4,0.311,0.0,0.0,None,17.6,1021,86,2.3,7,7,0.0,0.0,0.0,0.0,0.0
5,0.309,0.0,0.0,None,15.62,1021,87,2.33,1,7,0.0,0.0,0.0,0.0,0.0
6,0.409,0.0,0.0,None,16.26,1021,86,2.3,0,7,0.0,0.0,0.0,0.0,0.0
7,0.412,0.0,0.001,None,15.58,1021,86,2.34,0,7,4.0,1.0,3.0,15.2,30.7
8,0.241,0.0,0.244,Low,18.64,1022,81,2.77,0,7,107.0,67.0,40.0,419.1,209.9
9,0.026,0.0,0.327,High,21.53,1022,51,2.18,0,7,286.0,223.0,63.0,677.4,451.0
10,0.0,0.0,0.331,High,23.48,1022,49,1.83,0,7,454.0,378.0,76.0,790.3,655.2
11,0.0,0.0,0.325,Very High,24.86,1022,47,1.76,0,7,584.0,502.0,82.0,850.4,808.7
12,0.0,0.0,0.325,Very High,26.24,1021,35,1.02,0,7,664.0,577.0,87.0,877.4,900.8
13,0.236,0.0,0.499,High,27.36,1021,38,0.78,0,7,683.0,595.0,88.0,880.8,925.4
14,0.507,0.0,0.64,High,27.22,1020,37,1.25,0,7,643.0,556.0,87.0,864.8,880.8
15,0.0,0.0,0.385,High,27.89,1020,38,2.02,0,7,547.0,464.0,83.0,825.7,769.9
16,0.0,0.0,0.33,Medium,27.14,1020,43,2.49,0,7,404.0,331.0,73.0,755.5,600.3
17,0.092,0.0,0.238,Low,25.64,1019,53,2.15,1,7,232.0,173.0,59.0,618.0,383.5
18,0.437,0.0,0.017,None,23.99,1020,65,2.01,3,7,63.0,38.0,25.0,286.3,134.4
19,0.684,0.0,0.0,None,22.32,1020,70,2.03,0,7,0.0,0.0,0.0,0.0,0.0
20,0.75,0.0,0.0,None,21.22,1020,73,1.98,0,7,0.0,0.0,0.0,0.0,0.0
21,0.682,0.0,0.0,None,20.66,1020,76,1.92,0,7,0.0,0.0,0.0,0.0,0.0
22,0.573,0.0,0.0,None,20.1,1020,77,1.98,3,7,0.0,0.0,0.0,0.0,0.0
23,0.577,0.0,0.0,None,19.57,1020,78,1.78,0,7,0.0,0.0,0.0,0.0,0.0
0,0.426,0.0,0.0,None,19.28,1020,78,1.66,0,7,0.0,0.0,0.0,0.0,0.0
1,0.376,0.0,0.0,None,19.92,1020,68,1.67,19,2,0.0,0.0,0.0,0.0,0.0
2,0.379,0.0,0.0,None,15.89,1019,91,1.71,6,7,0.0,0.0,0.0,0.0,0.0
3,0.353,0.0,0.0,None,19.36,1019,71,1.71,3,7,0.0,0.0,0.0,0.0,0.0
4,0.334,0.0,0.0,None,13.69,1019,94,1.76,0,7,0.0,0.0,0.0,0.0,0.0
5,0.333,0.0,0.0,None,13.35,1019,94,1.74,0,7,0.0,0.0,0.0,0.0,0.0
6,0.319,0.0,0.0,None,13.94,1019,94,1.85,0,7,0.0,0.0,0.0,0.0,0.0
7,0.344,0.0,0.0,None,13.2,1019,95,1.74,0,7,4.0,1.0,3.0,15.6,28.3
8,0.356,0.0,0.214,Low,15.39,1019,89,2.12,0,7,103.0,66.0,37.0,417.9,205.0
9,0.0,0.0,0.323,High,23.04,1020,61,1.39,0,7,276.0,213.0,63.0,654.7,445.9
10,0.0,0.0,0.32,High,23.16,1020,63,0.57,0,7,440.0,365.0,75.0,769.8,649.9
11,0.0,0.0,0.325,Very High,24.55,1020,60,0.24,0,7,569.0,486.0,83.0,829.5,803.0
12,0.0,0.0,0.33,Very High,25.62,1020,54,0.37,0,7,647.0,560.0,87.0,857.7,894.9
13,0.008,0.0,0.38,Very High,26.62,1019,48,1.15,0,7,667.0,579.0,88.0,863.5,919.2
14,0.0,0.0,0.381,High,27.33,1019,49,1.91,0,7,628.0,541.0,87.0,848.3,874.2
15,0.0,0.0,0.364,High,27.28,1019,47,2.4,0,7,533.0,451.0,82.0,810.3,763.0
16,0.003,0.0,0.376,Medium,26.18,1018,53,2.53,0,7,392.0,319.0,73.0,737.3,593.1
17,0.208,0.0,0.231,None,25.08,1019,57,2.19,0,7,222.0,165.0,57.0,601.2,376.2
18,0.458,0.0,0.017,None,22.74,1019,73,2.27,11,2,58.0,34.0,24.0,261.7,127.0
19,0.949,0.0,0.0,None,20.94,1019,77,2.25,68,4,0.0,0.0,0.0,0.0,0.0
20,0.882,0.0,0.0,None,18.8,1020,84,2.0,95,6,0.0,0.0,0.0,0.0,0.0
21,0.589,0.0,0.0,None,18.28,1020,85,1.77,98,6,0.0,0.0,0.0,0.0,0.0
22,0.527,0.0,0.0,None,17.77,1020,89,1.32,100,6,0.0,0.0,0.0,0.0,0.0
23,0.445,0.0,0.0,None,17.23,1020,89,1.47,98,6,0.0,0.0,0.0,0.0,0.0
0,0.375,0.0,0.0,None,16.69,1019,92,1.25,96,6,0.0,0.0,0.0,0.0,0.0
1,0.384,0.0,0.0,None,16.63,1019,91,0.98,95,6,0.0,0.0,0.0,0.0,0.0
2,0.463,0.0,0.0,None,17.36,1019,92,1.01,94,6,0.0,0.0,0.0,0.0,0.0
3,0.413,0.0,0.0,None,16.74,1019,91,1.14,94,6,0.0,0.0,0.0,0.0,0.0
4,0.34,0.0,0.0,None,17.37,1019,90,1.19,95,6,0.0,0.0,0.0,0.0,0.0
5,0.323,0.0,0.0,None,17.09,1019,89,1.11,94,6,0.0,0.0,0.0,0.0,0.0
6,0.314,0.0,0.0,None,17.37,1019,89,1.09,95,6,0.0,0.0,0.0,0.0,0.0
7,0.374,0.0,0.0,None,16.82,1019,91,1.01,83,4,3.0,0.0,3.0,0.0,25.8
8,0.232,0.0,0.09,None,18.76,1020,87,0.93,73,4,89.0,39.0,50.0,250.0,200.0
9,0.242,0.0,0.304,Medium,20.15,1020,83,0.45,91,6,255.0,166.0,89.0,516.5,440.8
10,0.0,0.0,0.455,High,20.98,1020,82,0.33,91,6,431.0,334.0,97.0,710.7,644.5
11,0.222,0.0,0.562,High,22.29,1020,75,0.64,88,6,571.0,483.0,88.0,830.7,797.4
12,0.0,0.0,0.341,Very High,23.69,1020,70,0.79,88,6,648.0,550.0,98.0,848.6,888.9
13,0.0,0.0,0.337,Very High,24.7,1019,67,0.84,93,6,650.0,527.0,123.0,791.8,912.9
14,0.0,0.0,0.334,High,19.34,1019,69,1.02,89,6,597.0,448.0,149.0,708.3,867.6
15,0.143,0.0,0.562,Medium,25.14,1018,63,1.51,90,6,478.0,317.0,161.0,575.0,756.1
16,0.075,0.0,0.476,Medium,18.31,1018,70,1.99,92,6,315.0,163.0,152.0,381.5,586.0
